0.00.029.739 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.030.409 W srv  llama_server: -----------------
0.00.030.410 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.030.411 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.030.411 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.030.411 W srv  llama_server: -----------------
0.00.031.681 I srv    load_model: loading model '/home/randomwish/models/Qwen3.5-4B-Q4_K_M.gguf'
0.01.442.438 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 16384, kv_unified = 'false'
0.01.448.038 I srv  llama_server: model loaded
0.01.448.046 I srv  llama_server: listening on http://127.0.0.1:18085
0.01.500.691 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.01.500.838 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.02.591.662 I slot print_timing: id  0 | task 0 | prompt eval time =     495.54 ms /    14 tokens (   35.40 ms per token,    28.25 tokens per second)
0.02.591.671 I slot print_timing: id  0 | task 0 |        eval time =     595.22 ms /     8 tokens (   74.40 ms per token,    13.44 tokens per second)
0.02.591.673 I slot print_timing: id  0 | task 0 |       total time =    1090.76 ms /    22 tokens
0.02.591.686 I slot print_timing: id  0 | task 0 |    graphs reused =          7
0.02.591.747 I slot      release: id  0 | task 0 | stop processing: n_tokens = 21, truncated = 0
1.51.764.385 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 56756569078
1.52.019.819 I slot launch_slot_: id  0 | task 10 | processing task, is_child = 0
1.58.577.947 I slot print_timing: id  0 | task 10 | prompt processing, n_tokens =   1542, progress = 0.75, t =   6.56 s / 235.13 tokens per second
2.00.918.576 I slot print_timing: id  0 | task 10 | prompt processing, n_tokens =   2054, progress = 1.00, t =   8.90 s / 230.82 tokens per second
2.10.451.308 I slot print_timing: id  0 | task 10 | n_decoded =    100, tg =  11.35 t/s, tg_3s =  11.35 t/s
