feature,n,scope,spearman_rho,target
total_average_power_w,38,all-valid,-0.2500273552905132,throughput_requests_s
gpu_mean_power_average_w,38,all-valid,-0.23580260422365684,throughput_requests_s
gpu_mean_gpu_busy_pct,38,all-valid,-0.28679286574023416,throughput_requests_s
gpu_mean_tensor_activity_pct,38,all-valid,-0.1841558157347631,throughput_requests_s
gpu_mean_dram_activity_pct,38,all-valid,0.39293139293139295,throughput_requests_s
throughput_requests_s,19,balanced-valid,-0.9859649122807017,joules_per_request
queue_nonzero_fraction,19,balanced-valid,0.8771929824561403,ttft_ms_p95
queue_median,19,balanced-valid,0.8115426544571307,ttft_ms_p95
queue_median,19,balanced-valid,0.27811293214542115,e2e_ms_p95
service_mean_sglang_num_queue_reqs,19,balanced-valid,0.9473684210526315,ttft_ms_p95
radix_cache,9,prefix-valid,0.75,service_mean_sglang_cache_hit_rate
prefix_reuse_fraction,9,prefix-valid,0.6955695251272257,service_mean_sglang_cache_hit_rate
service_mean_sglang_cache_hit_rate,9,prefix-valid,-0.7302967433402214,joules_per_request
service_mean_sglang_cache_hit_rate,9,prefix-valid,-0.7302967433402214,ttft_ms_p95
service_mean_sglang_cache_hit_rate,9,prefix-valid,-0.7302967433402214,e2e_ms_p95
service_mean_sglang_cache_hit_rate,9,prefix-valid,-0.7302967433402214,gpu_mean_dram_activity_pct
service_mean_sglang_cache_hit_rate,9,prefix-valid,-0.7302967433402214,gpu_mean_tensor_activity_pct
