availability_fraction,available_runs,field,total_runs
1.0,56,cgroup_cpu_limit_cores,56
1.0,56,cgroup_cpu_period_usec,56
1.0,56,cgroup_cpu_quota_usec,56
1.0,56,cgroup_delta_cpu_burst_usec,56
1.0,56,cgroup_delta_cpu_core_sched_force_idle_usec,56
1.0,56,cgroup_delta_cpu_nr_bursts,56
1.0,56,cgroup_delta_cpu_nr_periods,56
1.0,56,cgroup_delta_cpu_nr_throttled,56
1.0,56,cgroup_delta_cpu_system_usec,56
1.0,56,cgroup_delta_cpu_throttled_usec,56
1.0,56,cgroup_delta_cpu_usage_usec,56
1.0,56,cgroup_delta_cpu_user_usec,56
1.0,56,cgroup_delta_memory_event_high,56
1.0,56,cgroup_delta_memory_event_low,56
1.0,56,cgroup_delta_memory_event_max,56
1.0,56,cgroup_delta_memory_event_oom,56
1.0,56,cgroup_delta_memory_event_oom_group_kill,56
1.0,56,cgroup_delta_memory_event_oom_kill,56
1.0,56,cgroup_max_memory_current_bytes,56
1.0,56,cgroup_mean_memory_current_bytes,56
1.0,56,cgroup_memory_max_bytes,56
1.0,56,cgroup_rate_cpu_burst_usec_per_s,56
1.0,56,cgroup_rate_cpu_core_sched_force_idle_usec_per_s,56
1.0,56,cgroup_rate_cpu_nr_bursts_per_s,56
1.0,56,cgroup_rate_cpu_nr_periods_per_s,56
1.0,56,cgroup_rate_cpu_nr_throttled_per_s,56
1.0,56,cgroup_rate_cpu_system_usec_per_s,56
1.0,56,cgroup_rate_cpu_throttled_usec_per_s,56
1.0,56,cgroup_rate_cpu_usage_usec_per_s,56
1.0,56,cgroup_rate_cpu_user_usec_per_s,56
1.0,56,check_all_requests_successful,56
1.0,56,check_energy_crosscheck,56
1.0,56,check_gpu_health_counters_unchanged,56
1.0,56,check_gpu_maximum_gap,56
1.0,56,check_gpu_sample_coverage,56
1.0,56,check_no_forbidden_clock_events,56
1.0,56,check_two_gpu_telemetry,56
1.0,56,check_watchdog_not_hit,56
1.0,56,chunked_prefill_size,56
1.0,56,e2e_ms_p50,56
1.0,56,e2e_ms_p95,56
1.0,56,e2e_ms_p99,56
1.0,56,elapsed_s,56
1.0,56,energy_crosscheck_relative_error,56
1.0,56,energy_j,56
1.0,56,gpu_busy_imbalance_fraction,56
1.0,56,gpu_counter_energy_j,56
1.0,56,gpu_device_count,56
1.0,56,gpu_fraction_clock_event_hw_slowdown,56
1.0,56,gpu_fraction_clock_event_hw_thermal,56
1.0,56,gpu_fraction_clock_event_power_brake,56
1.0,56,gpu_fraction_clock_event_sw_power_cap,56
1.0,56,gpu_fraction_clock_event_sw_thermal,56
1.0,56,gpu_fraction_gpm_supported,56
1.0,56,gpu_max_clock_event_reasons,56
1.0,56,gpu_max_dfma_tensor_activity_pct,56
1.0,56,gpu_max_dram_activity_pct,56
1.0,56,gpu_max_enforced_power_limit_w,56
1.0,56,gpu_max_fp16_activity_pct,56
1.0,56,gpu_max_fp32_activity_pct,56
1.0,56,gpu_max_fp64_activity_pct,56
1.0,56,gpu_max_gpu_busy_pct,56
1.0,56,gpu_max_graphics_activity_pct,56
1.0,56,gpu_max_hmma_tensor_activity_pct,56
1.0,56,gpu_max_imma_tensor_activity_pct,56
1.0,56,gpu_max_integer_activity_pct,56
1.0,56,gpu_max_interval_s,56
1.0,56,gpu_max_memory_busy_pct,56
1.0,56,gpu_max_memory_clock_mhz,56
