feature,n,scope,spearman_rho,target
service_max_sglang_kv_used_tokens,38,all-valid,0.6577306050990261,e2e_ms_p95
service_max_sglang_decode_sum_seq_lens,38,all-valid,0.6199387211557146,e2e_ms_p95
service_max_sglang_full_token_usage,38,all-valid,0.6124302440091913,e2e_ms_p95
service_mean_sglang_kv_used_tokens,38,all-valid,0.5726009410219937,e2e_ms_p95
service_mean_sglang_decode_sum_seq_lens,38,all-valid,0.550060181639129,e2e_ms_p95
gpu_mean_fp32_activity_pct,38,all-valid,0.5480906007221796,e2e_ms_p95
gpu_mean_power_instant_w,38,all-valid,0.5467775467775468,e2e_ms_p95
gpu_max_memory_busy_pct,38,all-valid,0.5430473307770022,e2e_ms_p95
gpu_mean_power_average_w,38,all-valid,0.532333953386585,e2e_ms_p95
service_mean_sglang_full_token_usage,38,all-valid,0.5209541525331,e2e_ms_p95
gpu_mean_sm_activity_pct,38,all-valid,0.470620417988839,e2e_ms_p95
gpu_mean_gpu_busy_pct,38,all-valid,0.4555202976255608,e2e_ms_p95
gpu_max_fp32_activity_pct,38,all-valid,0.44173323120691543,e2e_ms_p95
gpu_max_power_average_w,38,all-valid,0.4358244884560674,e2e_ms_p95
gpu_mean_graphics_activity_pct,38,all-valid,0.38789801947696684,e2e_ms_p95
gpu_max_integer_activity_pct,38,all-valid,-0.38658496553233396,e2e_ms_p95
gpu_mean_hmma_tensor_activity_pct,38,all-valid,0.36426304847357477,e2e_ms_p95
gpu_mean_tensor_activity_pct,38,all-valid,0.36426304847357477,e2e_ms_p95
gpu_mean_sm_occupancy_pct,38,all-valid,0.3528832476200897,e2e_ms_p95
gpu_mean_nvlink_tx_mib_s,38,all-valid,0.34784987416566365,e2e_ms_p95
gpu_mean_nvlink_rx_mib_s,38,all-valid,0.34631797789692526,e2e_ms_p95
cgroup_max_memory_current_bytes,38,all-valid,0.3436918700076595,e2e_ms_p95
service_mean_sglang_kv_available_tokens,38,all-valid,-0.343473027683554,e2e_ms_p95
gpu_busy_imbalance_fraction,38,all-valid,-0.33909618120144436,e2e_ms_p95
service_max_sglang_cache_hit_rate,38,all-valid,-0.33360376592388014,e2e_ms_p95
service_mean_sglang_cache_hit_rate,38,all-valid,-0.33360376592388014,e2e_ms_p95
gpu_mean_pcie_tx_mib_s,38,all-valid,0.33274975380238536,e2e_ms_p95
gpu_mean_integer_activity_pct,38,all-valid,0.3169931064667907,e2e_ms_p95
cgroup_rate_cpu_user_usec_per_s,38,all-valid,-0.2902943429259219,e2e_ms_p95
gpu_maximum_gap_s,38,all-valid,0.28000875369296424,e2e_ms_p95
gpu_raw_maximum_gap_s,38,all-valid,0.28000875369296424,e2e_ms_p95
gpu_mean_fp16_activity_pct,38,all-valid,0.27213043002516685,e2e_ms_p95
queue_median,38,all-valid,0.26375211173772295,e2e_ms_p95
network_delta_eth0_rx_bytes,38,all-valid,-0.2635172936874204,e2e_ms_p95
network_delta_eth0_rx_packets,38,all-valid,-0.2635172936874204,e2e_ms_p95
service_max_sglang_kv_evictable_tokens,38,all-valid,-0.26133491557627886,e2e_ms_p95
network_rate_eth0_rx_bytes_per_s,38,all-valid,-0.26061631098811716,e2e_ms_p95
network_rate_eth0_rx_packets_per_s,38,all-valid,-0.26061631098811716,e2e_ms_p95
gpu_max_interval_s,38,all-valid,0.2598752598752599,e2e_ms_p95
gpu_max_temperature_c,38,all-valid,0.2586912680867487,e2e_ms_p95
service_mean_sglang_kv_evictable_tokens,38,all-valid,-0.2538481498659468,e2e_ms_p95
gpu_max_clock_event_reasons,38,all-valid,-0.24350538350285358,e2e_ms_p95
queue_maximum,38,all-valid,0.2400525598977591,e2e_ms_p95
service_max_sglang_num_queue_reqs,38,all-valid,0.2400525598977591,e2e_ms_p95
gpu_sample_coverage,38,all-valid,-0.23317649633439108,e2e_ms_p95
gpu_power_imbalance_fraction,38,all-valid,-0.22923733450049238,e2e_ms_p95
gpu_mean_temperature_c,38,all-valid,0.22617354196301565,e2e_ms_p95
service_mean_sglang_num_queue_reqs,38,all-valid,0.22617354196301565,e2e_ms_p95
queue_nonzero_fraction,38,all-valid,0.22565112851245958,e2e_ms_p95
cgroup_mean_memory_current_bytes,38,all-valid,0.22135901083269505,e2e_ms_p95
gpu_max_nvlink_rx_mib_s,38,all-valid,-0.21763869132290184,e2e_ms_p95
gpu_max_nvlink_tx_mib_s,38,all-valid,-0.20385162490425648,e2e_ms_p95
gpu_fraction_clock_event_sw_power_cap,38,all-valid,0.19963858481478772,e2e_ms_p95
gpu_mean_clock_event_reasons,38,all-valid,0.19963858481478772,e2e_ms_p95
cgroup_rate_cpu_nr_periods_per_s,38,all-valid,-0.19838056680161945,e2e_ms_p95
network_delta_eth0_tx_bytes,38,all-valid,-0.1979944794868887,e2e_ms_p95
